Estado;Codigo;Arquivo
falha;25395;Prefeitura de Recife/pedidostransparencia2015/PROTEGIDA_PELA_LAI)
falha;25396;Prefeitura de Recife/pedidostransparencia2015/20150922_214620150047534005Recurso1.pdf_(INFORMA??O_DE_CUNHO_PESSOAL
falha;25397;Prefeitura de Recife/pedidostransparencia2015/PROTEGIDA_PELA_LAI)
falha;25439;Prefeitura de Recife/pedidostransparencia2015/2015_3703_735_0_R.pdf_(INFORMA??O_DE_CUNHO_PESSOAL
falha;25440;Prefeitura de Recife/pedidostransparencia2015/PROTEGIDA_PELA_LAI)
falha;25527;Prefeitura de Recife/pedidostransparencia2017/2017_6018_32_5_R.pdf_(Informa??o_de_cunho_pessoal
falha;25528;Prefeitura de Recife/pedidostransparencia2017/protegida_pela_LAI)
falha;25536;Prefeitura de Vitória/Anexos 2017/2017015192/contrato.pdf_
falha;26184;Prefeitura de João Pessoa/958837/QUADRO_NOMINALCARDIOLOGISTAS_25.09.13.xlsx.zip
falha;26328;Prefeitura de São Paulo/parte5 (16484-19684)/6094_protocolo_6094.xlsx
falha;26329;Prefeitura de João Pessoa/697637/SIC.zip
falha;26330;Prefeitura de João Pessoa/697637/SIC_2016_08_04_18_06_21_381.xlsx
falha;26332;Prefeitura de João Pessoa/663143/PARECER_03_2016_OUVIDORIA_SETORIAL_DE_SA__DE__0003_2016.zip
falha;26681;Prefeitura de Rio Branco/ANO 2013/SICRB201300081.docx
falha;154406;protegida_pela_lai
falha;154407;Governo do Estado de Minas Gerais/01190000002201566_resposta_DEPOSITO_DELF_ENGENHARIA.png_-_ESSE_ANEXO_CONTEM_INFORMACAO_SIGILOSA
falha;154710;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154715;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154717;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154723;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154738;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154765;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154767;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154787;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154792;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154793;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154820;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154831;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154856;Governo do Estado de Minas Gerais/02010000003201544_recurso1_INSS_valor_dos_beneficios_ano_2000_2014_Municipios_Brasileiros.xls
falha;154861;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154863;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154871;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154873;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154874;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154886;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154895;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154897;Governo do Estado de Minas Gerais/protegida_pela_lai
falha;154907;Controladoria Geral do Municipio/44874 até 45597/44934_e_sic_44939_44935_44934.xlsx
falha;154908;Controladoria Geral do Municipio/44874 até 45597/44935_e_sic_44939_44935_44934.xlsx
falha;154909;Controladoria Geral do Municipio/44874 até 45597/44937_e_sic_44937.xlsx
falha;154911;Controladoria Geral do Municipio/44874 até 45597/44939_e_sic_44939_44935_44934.xlsx
falha;154914;Controladoria Geral do Municipio/44874 até 45597/44953_esic_44953.png
falha;154915;Controladoria Geral do Municipio/44874 até 45597/44953_esic_44953_solicitacao.png
falha;155127;Controladoria Geral do Municipio/44874 até 45597/45520_e_sic_pedido_45520__maiores_devedores.xls
falha;155130;Controladoria Geral do Municipio/44874 até 45597/45527_doc__01___e_sic_45527_asts_enf_tatuape_nominal.xls
falha;155131;Controladoria Geral do Municipio/44874 até 45597/45527_doc__02___e_sic_45527_spdm_uti_carmino_caricchio___janeiro_2020.xls
falha;155132;Controladoria Geral do Municipio/44874 até 45597/45532_anexo___resposta_e_sic_45532.docx
falha;155153;Controladoria Geral do Municipio/44874 até 45597/45536_quadro_anexo___45536.jpg
falha;155154;Controladoria Geral do Municipio/44874 até 45597/45543_anexo_ao_pr_n__45_543___acidentes_de_01_01_2018_a_01_01_2019.xlsx
falha;155155;Controladoria Geral do Municipio/44874 até 45597/45556_transparencia.png
falha;155156;Controladoria Geral do Municipio/44874 até 45597/45557_e_sic_45557.xls
falha;155163;Controladoria Geral do Municipio/44874 até 45597/45566_e_sic_45566.xlsx
falha;155164;Controladoria Geral do Municipio/44874 até 45597/45568_e_sic_45568.docx
falha;155165;Controladoria Geral do Municipio/44874 até 45597/45569_e_sic_45569___tabelas_de_remuneracao___novembro_2019.xlsx
falha;155166;Controladoria Geral do Municipio/44874 até 45597/45570_quadro_anexo___45570.png
falha;155167;Controladoria Geral do Municipio/44874 até 45597/45570_templos_isentos_2019___esic_45570.xlsx
falha;155170;Controladoria Geral do Municipio/44874 até 45597/45581_pedido_e_sic_n__45581___enchentes___dados_de_2011_a_2020.xlsx
falha;155171;Controladoria Geral do Municipio/44874 até 45597/45582_anexo_ao_pr_n__45_582___acidentes_envolvendo_motocicletas_de_jan_2017_a_out_de_2019.xlsx
falha;155174;Controladoria Geral do Municipio/44874 até 45597/45587_cejam_os_profissionais_por_categoria__ubs_jd_comercial_fev2020.xlsx
falha;155175;Controladoria Geral do Municipio/44874 até 45597/45596_tela___e_sic_n__45596.png
falha;155177;Controladoria Geral do Municipio/45598 até 46413/45599_contribuintes_com_desconto_de_valor_venal___esic_45599.docx
falha;155184;Controladoria Geral do Municipio/45598 até 46413/45634_valor_venal_de_2008_a_2020___esic_n__45634.docx
falha;155186;Controladoria Geral do Municipio/45598 até 46413/45644_monitoramento_do_planmob___versao_final___protocolo_45644.ods
falha;155187;Controladoria Geral do Municipio/45598 até 46413/45644_monitoramento_do_planmob___versao_final___protocolo_45644.xlsx
falha;155190;Controladoria Geral do Municipio/45598 até 46413/45663_relacao_linhas_desativadas_sic_n__45663__2_.xls
falha;155191;Controladoria Geral do Municipio/45598 até 46413/45663_relacao_linhas_desativadas_sic_n__45663.xls
falha;155196;Controladoria Geral do Municipio/45598 até 46413/45678_plan_45678.xlsx
falha;155197;Controladoria Geral do Municipio/45598 até 46413/45678_plan_e_sic_45678.xlsx
falha;155198;Controladoria Geral do Municipio/45598 até 46413/45681_anexo_i___e_sic_45681.docx
falha;155202;Controladoria Geral do Municipio/45598 até 46413/45682_e_sic_n__45682___servicos_farmaceuticos___envio.xlsx
falha;155307;Controladoria Geral do Municipio/45598 até 46413/45967_copia_de_unidades_5_anos__4_.xlsx
falha;155308;Controladoria Geral do Municipio/45598 até 46413/45967_unidades_por_regiao.xlsx
falha;155309;Controladoria Geral do Municipio/45598 até 46413/45971_2018_exames_consultas_cirurgia.xlsx
falha;155310;Controladoria Geral do Municipio/45598 até 46413/45971_2019_exame_consulta_cirurgia.xlsx
falha;155311;Controladoria Geral do Municipio/45598 até 46413/45971_2020_fila_examesconsulata_cirurgia.xlsx
falha;155313;Controladoria Geral do Municipio/45598 até 46413/45972_e_sic_45972.png
falha;155316;Controladoria Geral do Municipio/45598 até 46413/45982_impugnacoes_2019_smit.xlsx
falha;155318;Controladoria Geral do Municipio/45598 até 46413/45984_e_sic_45984_pregoes_2.xlsx
falha;155319;Controladoria Geral do Municipio/45598 até 46413/45984_e_sic_45984_pregoes.xlsx
falha;155320;Controladoria Geral do Municipio/45598 até 46413/45989_licitacoes_2019.xlsx
falha;155321;Controladoria Geral do Municipio/45598 até 46413/45989_relatorio_licitacoes__2019.xlsx
falha;155383;Controladoria Geral do Municipio/45598 até 46413/46075_e_sic_n__46075.xlsx
falha;155396;Controladoria Geral do Municipio/45598 até 46413/46106_resposta___e_sic___46106___conselho_participativo_municipal.docx
falha;155397;Controladoria Geral do Municipio/45598 até 46413/46114_protocolo_46114___frota_locada_e_comodato_2017_2018_2019.xls
falha;155398;Controladoria Geral do Municipio/45598 até 46413/46114_protocolo_46114___frota_propria.docx
falha;155511;Controladoria Geral do Municipio/46414 até 46859/46505_resposta_e_sic_46505.xlsx
falha;155512;Controladoria Geral do Municipio/46414 até 46859/46506_licencas_covid19_14_05_2020.xlsx
falha;155513;Controladoria Geral do Municipio/46414 até 46859/46519_e_sic_46519_padrao_ns01a.xlsx
falha;155514;Controladoria Geral do Municipio/46414 até 46859/46521_46521_tabela_de_vencimentos_ns01a.xlsx
falha;155528;Controladoria Geral do Municipio/46414 até 46859/46542_contratacao_artistica_emendas_2019__1_.xlsx
falha;155529;Controladoria Geral do Municipio/46414 até 46859/46542_contratacao_artistica_emendas_2019_completo.xlsx
falha;155531;Controladoria Geral do Municipio/46414 até 46859/46551_anexo_ao_pr_n__46_551.xlsx
falha;155536;Controladoria Geral do Municipio/46414 até 46859/46561_e_sic_46561___3.xlsx
falha;155539;Controladoria Geral do Municipio/46414 até 46859/46564_levantamento_de_restos_a_pagar_dea___e_nao_pagos___data_31_03_2020.xlsx
falha;155540;Controladoria Geral do Municipio/46414 até 46859/46564_levantamento_de_restos_a_pagar_processados___e_nao_pagos___data_31_03_2020.xlsx
